,RE,Hour,X_start,Y_start,X_end,Y_end
135,404.7882274678879,18,46.4095026,30.7292341,-18.477523,-49.0157765
136,281.594474818368,12,46.4916837,30.7134506,46.4933868,30.7091548
137,397.51057879867,18,46.4706574,30.7468872,46.4751156,30.7475971
138,268.6374226463137,7,46.4795786,30.7237451,46.4772067,30.7266522
139,314.8768799623902,23,46.4061894,30.7104919,46.4023377,30.7061253
140,296.49332438890804,18,46.4685241,30.7382746,46.4677793,30.7376958
141,172.47489371641385,7,46.4769264,30.7063141,46.4789604,30.7297346
142,611.3581447945365,5,46.481606,30.7322459,33.0673948,117.3223436
143,309.5941607132556,15,46.4002626,30.7324964,46.3942093,30.7242026
144,353.02342356424117,9,46.4273982,30.7561876,46.4321718,30.7608926
145,343.76309368423574,13,46.481606,30.7322459,46.4817269,30.7307147
146,369.93928096682265,5,46.4183977,30.7333802,46.4158978,30.7216892
147,284.42745603944525,5,46.4826306,30.7386463,46.4860213,30.7396307
148,254.76268202793526,12,46.4718364,30.7308988,46.4715339,30.7234445
149,591.1730678669174,11,46.4796607,30.707564,46.483224,30.7085142
150,435.52224562491017,22,46.4158978,30.7216892,46.4187132,30.7262794
151,416.71706926754933,14,46.4865187,30.6800015,52.4713587,16.9174842
152,391.4759463242329,17,46.4725074,30.7413197,46.1757282,10.3633129
153,535.0525226129383,8,46.4732562,30.7311014,56.5719318,13.147164
154,246.56781485779064,14,46.3830291,30.7042814,,
155,438.7639522899304,11,46.4183977,30.7333802,46.4062529,30.7203589
156,349.552069781607,9,46.3999134,30.7329743,46.418826,30.7158395
157,143.26966142167322,9,46.4684401,30.7396111,46.4683432,30.7408402
158,549.5883612797797,7,46.4684401,30.7396111,46.4754809,30.7417755
159,462.89959284576736,11,46.4002626,30.7324964,41.7325994,8.7378218
160,515.4358743052551,5,46.481606,30.7322459,33.0673948,117.3223436
161,215.8605165904441,12,46.4376212,30.7162157,-15.0017944,27.5001611
162,307.7466569830885,11,46.4369698,30.732827,46.1749163,10.365401
163,602.5330045341835,19,46.4183977,30.7333802,39.9099056,-86.1877405
164,207.56005885908016,7,46.4203485,30.7446366,39.9099023,-86.1877243
165,597.0897597463251,20,46.4299427,30.7291378,46.4244327,30.7243469
166,238.43549759694613,15,46.481606,30.7322459,33.0673948,117.3223436
167,339.7097583041564,15,46.485215,30.722006,46.4817269,30.7307147
168,875.578117926772,17,46.4870066,30.7329909,46.4906101,30.7309506
169,168.06947371207792,19,46.5711572,30.7924188,46.5698808,30.7975394
170,174.44219327589184,10,46.4002626,30.7324964,46.4244327,30.7243469
171,259.5431636432205,9,46.4644809,30.7135369,55.6563207,37.3421427
172,365.9302925418714,17,46.4321718,30.7608926,46.4320048,30.7523919
173,421.39656480817763,16,46.4812971,30.7223816,47.5600707,-3.1359024
174,411.85969784000065,12,46.4273982,30.7561876,46.4321718,30.7608926
175,629.5144733313772,8,46.4718364,30.7308988,46.4752002,30.7496265
176,297.1010205001603,10,,,,
177,130.82186709753458,7,46.4424623,30.7154427,,
178,204.19794037026494,11,46.4732562,30.7311014,46.4701543,30.7167355
179,143.18202484003132,15,46.4726652,30.7392481,46.4758447,30.7376465
180,282.0963886783588,8,46.4865187,30.6800015,52.4718236,16.9165366
181,312.49750906510013,8,46.4321718,30.7608926,46.4321718,30.7608926
182,508.4813345801391,16,46.4767092,30.7005465,46.4755223,30.7235379
183,228.77690165438037,17,46.4741164,30.7394724,46.4677793,30.7376958
184,223.88175486636055,11,46.4725074,30.7413197,52.8872933,-7.5748715
185,215.83866241673843,19,46.4385763,30.7022223,39.9086994,-86.1872284
186,144.3326705153743,9,46.4095026,30.7292341,46.42458,30.752606
187,368.87076413218296,11,46.481606,30.7322459,46.4823293,30.7432664
188,624.8412168294826,12,46.4732562,30.7311014,46.476254,30.7116919
189,434.7793893608349,6,46.4738077,30.7239064,46.4759142,30.724419
190,567.8932228213872,10,46.4732562,30.7311014,46.4744702,30.7154062
191,218.6812030922893,12,,,13.2571996,10.4763909
192,242.4643905308804,16,46.4693812,30.7424715,46.1757282,10.3633129
193,654.1106314306759,17,46.4809134,30.7078242,46.4800283,30.6894163
194,544.9689625907803,14,46.4321858,30.7169737,47.5666765,-3.0859737
195,349.1503001904258,9,46.3776419,30.7254003,46.3757068,30.7226291
196,342.262747707712,16,46.4924172,30.7139329,46.4841116,30.7261451
197,161.9624124562955,7,46.4857404,30.7091691,46.4709392,30.7177405
198,747.007485340912,22,46.4706574,30.7468872,46.4663222,30.7461169
199,352.0104630145853,9,46.4972256,30.7213613,43.2984432,-0.3582949
200,183.80662382204926,17,46.4706574,30.7468872,39.9097609,-86.1880229
201,378.46735155130693,14,46.4535785,30.7288285,46.4523495,30.7288493
202,535.811601625534,16,46.4751044,30.709405,46.4666018,30.7275443
203,621.8684520712573,12,46.4748414,30.7113454,41.8277757,-71.3693386
204,590.1366250357863,18,46.476612,30.7070401,46.4755223,30.7235379
205,138.1347672019574,12,46.4239496,30.7211777,46.4348515,30.7211786
206,350.8369353726588,16,46.4890082,30.7198605,33.0673948,117.3223436
207,267.90970023679006,11,46.439791,30.7563505,46.4386816,30.7498664
208,111.45521000516977,20,46.4299427,30.7291378,46.4559376,30.7481344
209,307.2561460476481,1,46.4341326,30.7301167,46.4302225,30.722883
210,480.28153426883176,6,46.4349565,30.721037,47.566632,-3.0860809
211,279.5375416326742,11,46.4648434,30.7065873,46.4396328,30.7212105
212,260.2046688689368,8,46.4624727,30.7455146,-18.493081,-49.023335
213,220.00345653815484,19,46.481606,30.7322459,46.4808702,30.7434079
214,334.10027066962596,1,46.4726652,30.7392481,46.4758447,30.7376465
215,288.8754133458689,11,46.4197166,30.7423756,46.4172326,30.7433132
216,281.9263079327563,7,46.4421411,30.694644,39.9086994,-86.1872284
217,403.2661001006081,9,46.5730377,30.7851966,46.5735171,30.7854753
218,763.8047645050067,7,46.4584816,30.7135131,46.4584394,30.7163305
219,290.37190412992135,18,46.4744584,30.7553738,13.2571996,10.4763909
220,169.4518210230077,10,46.4718364,30.7308988,62.2856248,-7.0776978
221,306.90393886683023,10,46.4624727,30.7455146,46.4622747,30.7481477
222,470.9904380359015,10,46.439791,30.7563505,46.4386816,30.7498664
223,192.20234519949034,5,46.4409495,30.7571453,-18.4943541,-49.0249221
224,338.64382418623745,15,46.4388104,30.7121619,46.4417687,30.7058313
225,689.1688527154593,21,46.418654,30.7378364,46.4196506,30.7420823
226,665.5995214856421,20,46.4810818,30.7405321,46.4825536,30.7407544
227,567.9963442793681,16,46.47104,30.7273141,46.4789604,30.7297346
228,724.8952932539706,10,46.512909,30.7220754,43.3021935,-0.3598079
229,667.9695332023095,14,46.4739249,30.7553636,46.4774912,30.7620524
230,376.11928311591174,6,46.4684401,30.7396111,46.4683432,30.7408402
231,622.6079348899653,9,46.4061894,30.7104919,44.7976674,-85.6945147
232,241.75820421716634,19,46.4796563,30.7078682,46.4796663,30.7114714
233,209.03998531418566,13,46.4811924,30.7384494,46.4811924,30.7384494
234,403.97106378695383,12,46.4002626,30.7324964,46.3894065,30.7232806
235,482.7565329748721,19,46.4696046,30.7385158,41.6560948,-85.2155749
236,189.012358519254,19,46.4795517,30.7403127,46.4794704,30.7417548
237,595.8226186344771,14,46.4173043,30.7264673,47.566632,-3.0860809
238,97.6834285481386,13,46.4742068,30.7187873,46.4756433,30.722613
239,314.2465950741174,1,46.492085,30.6642285,52.4713587,16.9174842
240,351.126369929556,19,46.4725074,30.7413197,46.4754809,30.7417755
241,229.38993562871224,13,46.481606,30.7322459,46.4843613,30.7258149
242,175.2635805459833,15,46.4183977,30.7333802,46.4154606,30.7212873
243,478.4564127938597,13,46.4128308,30.7201633,47.5700702,-3.1247735
244,140.06623926892067,9,46.4726652,30.7392481,47.5600694,-3.1359312
245,381.1074196011112,18,46.4684401,30.7396111,46.47553,30.739691
246,494.5153630030137,19,46.4726652,30.7392481,46.47553,30.739691
247,770.5139024318331,19,46.4338423,30.7476832,47.566632,-3.0860809
248,349.3010548811072,4,46.4706574,30.7468872,-18.493081,-49.023335
249,357.35653364027763,15,46.4718364,30.7308988,46.4758447,30.7376465
250,783.6494571036266,18,46.4696046,30.7385158,46.1757202,10.3632434
251,281.4015995101476,5,46.4373638,30.7245638,-6.6180837,-44.1095058
252,188.47344597939616,23,46.4684401,30.7396111,46.4814729,30.7342425
253,341.0731141822957,19,46.4349565,30.721037,46.4349565,30.721037
254,290.41578395031553,5,46.4738077,30.7239064,46.4759142,30.724419
255,473.98089779404836,20,46.4387057,30.7537125,39.9101054,-86.1878845
256,244.20325703523298,23,46.4624727,30.7455146,-18.493081,-49.023335
257,613.5913156933423,5,46.4299427,30.7291378,39.9095787,-86.1852791
258,534.1073086835013,6,46.4685241,30.7382746,46.4677793,30.7376958
259,179.94620292162026,20,46.4697579,30.7367331,41.6437445,-85.275418
260,228.04106140250917,7,46.4299427,30.7291378,-18.4760755,-49.0160662
261,711.0459486159277,18,46.501762,30.7229868,46.4972256,30.7213613
262,269.2464410086083,16,46.4378561,30.7455816,-18.4943541,-49.0249221
263,333.007300551032,12,46.4370295,30.7543709,46.4363923,30.750335
264,490.0353937019264,22,46.4684401,30.7396111,46.4683432,30.7408402
265,196.47696202214544,17,46.48307,30.7324428,33.0680062,117.3221075
266,558.6536400466886,17,46.4684401,30.7396111,46.4683432,30.7408402
267,206.23132701157687,14,46.4051673,30.7100065,46.3841407,30.7151183
268,311.0105248003464,2,46.481606,30.7322459,46.4826514,30.7323864
269,308.98900238447163,22,46.4826306,30.7386463,33.0673948,117.3223436
270,218.53296425142406,19,46.464574,30.7347478,46.4676739,30.7375929
271,273.3885474974208,16,46.4696046,30.7385158,46.47553,30.739691
272,327.0658115101817,7,46.4002626,30.7324964,46.4002626,30.7324964
273,366.1940414371527,14,46.4273876,30.7548023,39.9095787,-86.1852791
